# Boundary points extracted from /depot/bera89/data/zhan5058/TUTR/generate_agent_points/006.png
# Found 7 boundaries

# Boundary 1 (200 points)
406.000,821.000
405.384,821.287
405.077,821.704
404.980,822.206
404.989,822.752
405.006,823.302
405.001,823.843
405.002,824.386
405.002,824.929
404.985,825.465
405.002,826.015
405.065,826.584
404.955,827.081
404.556,827.459
404.121,827.821
403.935,828.288
403.982,828.850
404.019,829.407
404.002,829.943
403.991,830.486
404.001,831.028
404.020,831.564
403.985,832.120
403.929,832.686
404.109,833.155
404.558,833.512
404.953,833.891
405.009,834.410
404.989,834.961
405.308,835.372
405.781,835.719
406.037,836.156
406.000,836.714
406.072,837.227
406.423,837.625
406.929,837.958
407.453,838.283
407.858,838.659
408.008,839.139
407.959,839.703
408.116,840.180
408.568,840.536
408.963,840.915
409.008,841.439
408.996,841.987
409.331,842.391
409.803,842.739
410.039,843.184
409.998,843.744
410.084,844.251
410.447,844.643
410.957,844.975
411.479,845.302
411.874,845.681
412.007,846.168
411.958,846.732
412.135,847.201
412.593,847.554
412.975,847.939
413.004,848.470
413.004,849.012
413.356,849.410
413.824,849.758
414.041,850.212
413.996,850.773
414.098,851.274
414.471,851.662
414.986,851.992
415.504,852.320
415.888,852.703
416.006,853.197
415.958,853.760
416.155,854.221
416.619,854.572
416.986,854.963
417.000,855.501
417.014,856.037
417.381,856.423
417.845,856.774
418.042,857.247
417.993,857.813
418.113,858.261
418.499,858.602
419.014,859.013
419.520,859.572
419.893,859.981
420.017,859.871
419.982,859.272
420.109,858.691
420.483,858.307
420.986,858.008
421.493,857.687
421.877,857.297
422.018,856.806
421.983,856.249
422.095,855.754
422.459,855.362
422.959,855.026
423.468,854.693
423.862,854.314
424.017,853.836
423.984,853.279
424.082,852.777
424.436,852.380
424.931,852.043
425.443,851.712
425.846,851.336
426.016,850.864
425.985,850.308
426.070,849.800
426.412,849.399
426.904,849.060
427.418,848.730
427.829,848.358
428.015,847.892
427.987,847.337
428.058,846.824
428.387,846.417
428.875,846.076
429.398,845.750
429.822,845.383
430.008,844.917
429.967,844.357
430.075,843.859
430.490,843.488
430.920,843.124
431.069,842.643
431.009,842.075
430.982,841.521
431.000,840.986
431.004,840.444
430.999,839.900
430.999,839.357
431.000,838.814
